"Kod","Nazwa","Okresy","Rok","Jednostka.miary","Atrybut","X","ziarno zbóż (bez siewnego) - jęczmień za 1dt","ziarno zbóż (bez siewnego) - pszenżyto za 1dt","ziarno zbóż (bez siewnego) - owies za 1dt","ziarno zbóż (bez siewnego) - kukurydza za 1dt","żywiec rzeźny - bydło (bez cieląt) za 1 kg wagi żywej","mleko krowie za 1 hl"
0,"POLSKA","kwiecień",2019,"zł","",NA,77.98,75.93,72.05,73.65,6.49,135.85
0,"POLSKA","kwiecień",2020,"zł","",NA,67.82,65.81,63.96,71.37,6.12,132.89
0,"POLSKA","kwiecień",2021,"zł","",NA,83.39,84.03,62.67,88.44,7.19,152.27
0,"POLSKA","kwiecień",2022,"zł","",NA,139.02,143.49,115.32,135.4,11.23,213.47
0,"POLSKA","kwiecień",2023,"zł","",NA,94.02,101.78,93.56,105.07,10.82,216.8
0,"POLSKA","kwiecień",2024,"zł","",NA,71.25,66.68,91.62,68.87,10.39,202.56
0,"POLSKA","maj",2018,"zł","",NA,66.19,62.44,53.3,64.78,6.63,129.2
0,"POLSKA","maj",2019,"zł","",NA,78.83,75.81,71.61,69.71,6.52,134.64
0,"POLSKA","maj",2020,"zł","",NA,69.25,67.2,64.37,71.92,6.22,130.88
0,"POLSKA","maj",2021,"zł","",NA,84.16,85.24,60.69,93.54,7.26,151.39
0,"POLSKA","maj",2022,"zł","",NA,146.33,151.18,119.24,140.74,11.72,221.11
0,"POLSKA","maj",2023,"zł","",NA,86.75,88.17,88.27,94.66,11.14,206.52
0,"POLSKA","maj",2024,"zł","",NA,70.6,67.15,83.08,74.83,10.56,196.89
0,"POLSKA","czerwiec",2018,"zł","",NA,65.47,63.72,54.41,67.09,6.49,128.52
0,"POLSKA","czerwiec",2019,"zł","",NA,73.1,74,69.45,72.37,6.06,132.07
0,"POLSKA","czerwiec",2020,"zł","",NA,68.69,68.63,63.71,74.36,6.27,130.61
0,"POLSKA","czerwiec",2021,"zł","",NA,86.5,89.32,60.67,97.96,7.48,150.22
0,"POLSKA","czerwiec",2022,"zł","",NA,140.57,150.84,116.35,137.74,10.94,227.18
0,"POLSKA","czerwiec",2023,"zł","",NA,80.33,83.32,79.48,85.62,9.97,193.58
0,"POLSKA","czerwiec",2024,"zł","",NA,68.05,79.1,90.54,88.01,10.64,195.04
0,"POLSKA","lipiec",2018,"zł","",NA,62.57,62.05,52.18,67.97,6.42,129.3
0,"POLSKA","lipiec",2019,"zł","",NA,61.51,62.95,57.64,69.6,6.22,130.16
0,"POLSKA","lipiec",2020,"zł","",NA,60.1,63.05,56.82,75.03,6.29,130.69
0,"POLSKA","lipiec",2021,"zł","",NA,70.09,74.75,64.09,101.16,7.41,149.45
0,"POLSKA","lipiec",2022,"zł","",NA,125.02,135.09,110.31,136.1,10.74,233.67
0,"POLSKA","lipiec",2023,"zł","",NA,78.52,80.04,80.73,87.06,9.75,188.67
0,"POLSKA","lipiec",2024,"zł","",NA,73.17,65.53,74.14,88.79,10.49,194.92
0,"POLSKA","sierpień",2018,"zł","",NA,68.86,66.81,53.73,70.75,6.52,129.83
0,"POLSKA","sierpień",2019,"zł","",NA,65.73,61.03,56.19,69.84,6.11,130.62
0,"POLSKA","sierpień",2020,"zł","",NA,62.53,58.68,54.97,83.9,6.14,133.26
0,"POLSKA","sierpień",2021,"zł","",NA,74.43,76.51,58.54,101.08,7.83,150.52
0,"POLSKA","sierpień",2022,"zł","",NA,138.55,132.7,111.43,140.48,11.38,238.97
0,"POLSKA","sierpień",2023,"zł","",NA,91.59,79.46,76.4,91.17,10.34,186.76
0,"POLSKA","sierpień",2024,"zł","",NA,77.96,72.36,73.49,86.76,10.38,200.63
0,"POLSKA","wrzesień",2018,"zł","",NA,73.48,73.77,57.61,58.05,6.48,132.77
0,"POLSKA","wrzesień",2019,"zł","",NA,67.05,62.87,57.61,62.97,6.01,131.26
0,"POLSKA","wrzesień",2020,"zł","",NA,65.29,61.05,55.52,81.36,6.4,138.17
0,"POLSKA","wrzesień",2021,"zł","",NA,82.08,84.09,62.83,98.14,8.1,155.71
0,"POLSKA","wrzesień",2022,"zł","",NA,134.43,141.22,122.64,135.87,10.95,249.66
0,"POLSKA","wrzesień",2023,"zł","",NA,85.07,79.68,77.2,80.31,9.98,188.38
0,"POLSKA","wrzesień",2024,"zł","",NA,78.72,74.85,78.53,58.04,10.49,208.36
0,"POLSKA","październik",2018,"zł","",NA,75.69,74.15,61.25,61.45,6.51,137.15
0,"POLSKA","październik",2019,"zł","",NA,65.28,62.07,60.72,49.06,6.05,132.95
0,"POLSKA","październik",2020,"zł","",NA,66.38,63.53,56.07,50.88,6.44,144.59
0,"POLSKA","październik",2021,"zł","",NA,87.97,92.97,67.12,68.75,8.64,163.78
0,"POLSKA","październik",2022,"zł","",NA,136.03,141.46,128.51,105.72,10.87,260.35
0,"POLSKA","październik",2023,"zł","",NA,82.08,79.63,82.63,54.53,10.14,195.61
0,"POLSKA","październik",2024,"zł","",NA,79.46,77.37,85.18,61.26,10.79,220.23
0,"POLSKA","listopad",2018,"zł","",NA,77.6,75.88,65.74,68.75,6.5,140.14
0,"POLSKA","listopad",2019,"zł","",NA,66.23,60.05,57.9,57.88,6.34,138.22
0,"POLSKA","listopad",2020,"zł","",NA,66.42,67.14,62.4,54.49,6.4,149.98
0,"POLSKA","listopad",2021,"zł","",NA,96.55,101.14,84.45,79.33,9.33,173.64
0,"POLSKA","listopad",2022,"zł","",NA,137.51,141.04,137.72,108,10.85,270.46
0,"POLSKA","listopad",2023,"zł","",NA,82.85,73.22,95.68,61.04,9.88,207.22
0,"POLSKA","listopad",2024,"zł","",NA,76.95,76.86,81.74,71.84,11.54,233.47
0,"POLSKA","grudzień",2018,"zł","",NA,80.34,77.78,70.9,71.07,6.54,140.1
0,"POLSKA","grudzień",2019,"zł","",NA,65.75,61.42,57.7,61.66,6.35,139.73
0,"POLSKA","grudzień",2020,"zł","",NA,67.54,71.52,58.31,65.13,6.64,152.92
0,"POLSKA","grudzień",2021,"zł","",NA,103.34,114.59,91.53,103.02,9.38,184.13
0,"POLSKA","grudzień",2022,"zł","",NA,135.77,132.68,133.08,128.3,10.92,275.47
0,"POLSKA","grudzień",2023,"zł","",NA,82.7,73.85,96.73,74.82,9.86,211.51
0,"POLSKA","grudzień",2024,"zł","n",NA,NA,NA,NA,NA,NA,NA
